City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Namibe,AO,-15.1961,12.1522,72.21,77,44,8.21,scattered clouds
224,Dingle,PH,10.9995,122.6711,76.28,89,44,4.23,scattered clouds
225,Gejiu,CN,23.306,103.1635,53.78,93,57,4.03,broken clouds
226,Burns Lake,CA,54.2331,-125.7533,44.22,64,53,11.63,broken clouds
227,San Policarpo,PH,12.1791,125.5072,79.66,85,84,4.23,broken clouds
228,Yarmolyntsi,UA,49.1924,26.8373,32.61,68,55,2.53,broken clouds
229,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,32,5.99,scattered clouds
230,Keetmanshoop,NA,-26.5833,18.1333,71.83,23,0,10.07,clear sky
231,Troyes,FR,48.3333,4.0833,50.05,71,0,6.91,clear sky
232,Raglan,NZ,-37.8,174.8833,61.3,69,7,3.62,clear sky
233,Aykhal,RU,66.0,111.5,-25.06,100,59,2.35,broken clouds
234,Tautira,PF,-17.7333,-149.15,80.67,73,54,10.65,broken clouds
235,Abalak,RU,58.1286,68.5944,-1.98,99,80,5.1,broken clouds
236,Blagoyevo,RU,63.3667,47.9167,5.09,98,79,2.1,broken clouds
237,Goya,AR,-29.14,-59.2626,79.66,36,1,5.66,clear sky
238,Port Blair,IN,11.6667,92.75,81.61,70,43,5.41,scattered clouds
239,Stillwater,US,36.1156,-97.0584,64.67,57,75,16.11,broken clouds
240,Bagotville,AU,-28.9833,153.4167,64.85,99,100,9.17,overcast clouds
241,Sulangan,PH,11.1373,123.7228,80.87,83,93,6.08,overcast clouds
242,Vilyuysk,RU,63.7553,121.6247,-4.09,99,100,3.74,overcast clouds
243,Muros,ES,42.7762,-9.0603,56.08,76,83,12.28,broken clouds
244,Bati,ET,11.1833,40.0167,66.15,46,100,1.39,overcast clouds
245,Wasilla,US,61.5814,-149.4394,28.4,56,0,5.01,clear sky
246,Angol,CL,-37.8,-72.7167,84.54,26,16,10.13,few clouds
247,Nioro,GM,13.35,-15.75,85.87,19,1,10.38,clear sky
248,Broome,US,42.2506,-75.833,50.45,50,0,9.22,clear sky
249,Uvalde,US,29.3669,-99.767,79.41,29,0,10.36,clear sky
